Constituency
Aberafan Maesteg
Aberdeenshire North and Moray East
Alloa and Grangemouth
Angus and Perthshire Glens
Arbroath and Broughty Ferry
"Argyll, Bute and South Lochaber"
Bangor Aberconwy
Barnsley North
Barnsley South
Bathgate and Linlithgow
Beckenham and Penge
Belfast South and Mid Down
Bethnal Green and Stepney
Bicester and Woodstock
Birmingham Hall Green and Moseley
Birmingham Hodge Hill and Solihull North
Blackley and Middleton South
Blackpool North and Fleetwood
Blaenau Gwent and Rhymney
Blaydon and Consett
Blyth and Ashington
Bolton South and Walkden
"Brecon, Radnor and Cwm Tawe"
Brent East
Brent West
Bridgwater
Bridlington and The Wolds
Brigg and Immingham
Brighton Kemptown and Peacehaven
Bristol Central
Bristol North East
Broadland and Fakenham
Bromley and Biggin Hill
Buckingham and Bletchley
Burton and Uttoxeter
Bury St Edmunds and Stowmarket
Caerfyrddin
Cardiff East
Ceredigion Preseli
Chester North and Neston
Chester South and Eddisbury
Clapham and Brixton Hill
Clwyd East
Clwyd North
Coatbridge and Bellshill
Corby and East Northamptonshire
Coventry East
Cowdenbeath and Kirkcaldy
Cramlington and Killingworth
Croydon East
Croydon West
Cumbernauld and Kirkintilloch
Dewsbury and Batley
Didcot and Wantage
Doncaster East and the Isle of Axholme
Dorking and Horley
Dover and Deal
Droitwich and Evesham
Dudley
Dundee Central
Dunfermline and Dollar
Dunstable and Leighton Buzzard
Earley and Woodley
East Grinstead and Uckfield
East Kilbride and Strathaven
East Thanet
East Wiltshire
Edinburgh East and Musselburgh
Edmonton and Winchmore Hill
Ellesmere Port and Bromborough
Eltham and Chislehurst
Ely and East Cambridgeshire
Exmouth and Exeter East
Fareham and Waterlooville
Farnham and Bordon
Frome and East Somerset
Gateshead Central and Whickham
Glasgow West
Glastonbury and Somerton
Glenrothes and Mid Fife
Godalming and Ash
Goole and Pocklington
Gordon and Buchan
Gorton and Denton
Grantham and Bourne
Great Grimsby and Cleethorpes
Halesowen
Hamble Valley
Hamilton and Clyde Valley
Hammersmith and Chiswick
Hampstead and Highgate
"Harborough, Oadby and Wigston"
Harpenden and Berkhamsted
Henley and Thame
Herne Bay and Sandwich
Heywood and Middleton North
Hinckley and Bosworth
Hitchin
Honiton and Sidmouth
Hornsey and Friern Barnet
Hove and Portslade
Inverclyde and Renfrewshire West
"Inverness, Skye and West Ross-shire"
Isle of Wight East
Isle of Wight West
Jarrow and Gateshead East
Keighley and Ilkley
Kensington and Bayswater
Kingston upon Hull North and Cottingham
Kingston upon Hull West and Haltemprice
Kingswinford and South Staffordshire
Lancaster and Wyre
Leeds Central and Headingley
Leeds South
Leeds South West and Morley
Leeds West and Pudsey
Leigh and Atherton
Lewisham North
Lewisham West and East Dulwich
Liverpool Garston
Lothian East
Lowestoft
Luton South and South Bedfordshire
Maidstone and Malling
Manchester Rusholme
Melksham and Devizes
Melton and Syston
Meriden and Solihull East
Merthyr Tydfil and Aberdare
Mid and South Pembrokeshire
Mid Buckinghamshire
Mid Cheshire
Mid Dunbartonshire
Mid Leicestershire
Middlesbrough and Thornaby East
Milton Keynes Central
Monmouthshire
Montgomeryshire and Glyndŵr
"Moray West, Nairn and Strathspey"
"Motherwell, Wishaw and Carluke"
Neath and Swansea East
Newcastle upon Tyne Central and West
Newcastle upon Tyne East and Wallsend
Newport West and Islwyn
Newton Aycliffe and Spennymoor
Normanton and Hemsworth
North Bedfordshire
North Cotswolds
North East Somerset and Hanham
North Northumberland
North Warwickshire and Bedworth
North West Essex
Nottingham North and Kimberley
"Oldham West, Chadderton and Royton"
Ossett and Denby Dale
Peckham
Pendle and Clitheroe
Penrith and Solway
Perth and Kinross-shire
"Pontefract, Castleford and Knottingley"
Queen's Park and Maida Vale
Rawmarsh and Conisbrough
Reading Central
Reading West and Mid Berkshire
Rhondda and Ogmore
Richmond and Northallerton
Runcorn and Helsby
Rutherglen
Rutland and Stamford
Salford
Selby
Sherwood Forest
Shrewsbury
Smethwick
Solihull West and Shirley
South Cotswolds
South Devon
South Shropshire
Southend East and Rochford
Southend West and Leigh
Southgate and Wood Green
Spen Valley
St Neots and Mid Cambridgeshire
Stirling and Strathallan
Stockton West
"Stone, Great Wyrley and Penkridge"
Stratford and Bow
Streatham and Croydon North
Sussex Weald
Swindon North
Swindon South
Taunton and Wellington
Tipton and Wednesbury
Tiverton and Minehead
Tonbridge
Torridge and Tavistock
Vauxhall and Camberwell Green
Wakefield and Rothwell
Walsall and Bloxwich
Washington and Gateshead South
Waveney Valley
Weald of Kent
Wetherby and Easingwold
Wellingborough and Rushden
Wells and Mendip Hills
West Bromwich
West Ham and Beckton
Whitehaven and Workington
Widnes and Halewood
Wolverhampton West
Worsley and Eccles
Aberavon
Aberconwy
Angus
Arfon
Argyll and Bute
Banff and Buchan
Barnsley Central
Barnsley East
Batley and Spen
Beckenham
Belfast South
Berwick-upon-Tweed
Bethnal Green and Bow
Birmingham Hall Green
Birmingham Hodge Hill
Blackley and Broughton
Blackpool North and Cleveleys
Blaenau Gwent
Blaydon
Blyth Valley
Bolton South East
Bosworth
Brecon and Radnorshire
Brent Central
Brent North
Bridgwater and West Somerset
Brigg and Goole
Brighton Kemptown
Bristol West
Broadland
Bromley and Chislehurst
Buckingham
Burton
Bury St Edmunds
Camberwell and Peckham
Cardiff Central
Carmarthen East and Dinefwr
Carmarthen West and South Pembrokeshire
Ceredigion
Charnwood
City of Chester
Cleethorpes
Clwyd South
Clwyd West
"Coatbridge, Chryston and Bellshill"
Copeland
Corby
Coventry North East
Croydon Central
Croydon North
"Cumbernauld, Kilsyth and Kirkintilloch East"
Cynon Valley
Delyn
Denton and Reddish
Devizes
Dewsbury
Don Valley
Dover
Dudley North
Dudley South
Dundee East
Dundee West
Dunfermline and West Fife
East Devon
East Dunbartonshire
"East Kilbride, Strathaven and Lesmahagow"
East Lothian
East Yorkshire
Eddisbury
Edinburgh East
Edmonton
Ellesmere Port and Neston
Elmet and Rothwell
Eltham
Enfield Southgate
Fareham
Garston and Halewood
Gateshead
Glasgow Central
Glasgow North West
Glenrothes
Gordon
Grantham and Stamford
Great Grimsby
Halesowen and Rowley Regis
Haltemprice and Howden
Halton
Hammersmith
Hampstead and Kilburn
Harborough
Hemsworth
Henley
Heywood and Middleton
Hitchin and Harpenden
Hornsey and Wood Green
Hove
Inverclyde
"Inverness, Nairn, Badenoch and Strathspey"
Isle of Wight
Islwyn
Jarrow
Keighley
Kensington
Kingston upon Hull North
Kingston upon Hull West and Hessle
Kingswood
Kirkcaldy and Cowdenbeath
Lanark and Hamilton East
Lancaster and Fleetwood
Leeds Central
Leeds West
Leigh
Lewisham Deptford
Lewisham West and Penge
Linlithgow and East Falkirk
Ludlow
Luton South
Maidstone and The Weald
Manchester Gorton
Meon Valley
Meriden
Merthyr Tydfil and Rhymney
Mid Worcestershire
Middlesbrough
Mid Worcestershire
Milton Keynes South
Mole Valley
Monmouth
Montgomeryshire
Moray
Morley and Outwood
Motherwell and Wishaw
Neath
Newcastle upon Tyne Central
Newcastle upon Tyne East
Newport West
"Normanton, Pontefract and Castleford"
North East Bedfordshire
North East Somerset
North Swindon
North Thanet
North Tyneside
North Warwickshire
North West Durham
North Wiltshire
Nottingham North
Ochil and South Perthshire
Ogmore
Oldham West and Royton
Pendle
Penrith and The Border
Perth and North Perthshire
Preseli Pembrokeshire
Pudsey
Reading East
Reading West
Rhondda
Richmond (Yorks)
Rochford and Southend East
"Ross, Skye and Lochaber"
Rutherglen and Hamilton West
Rutland and Melton
Saffron Walden
Salford and Eccles
Sedgefield
Selby and Ainsty
Sherwood
Shrewsbury and Atcham
Solihull
Somerton and Frome
South East Cambridgeshire
South Staffordshire
South Swindon
South Thanet
South West Bedfordshire
South West Surrey
Southend West
Stirling
Stockton South
Stone
Streatham
Swansea East
Taunton Deane
The Cotswolds
Tiverton and Honiton
Tonbridge and Malling
Torridge and West Devon
Totnes
Vale of Clwyd
Vauxhall
Wakefield
Walsall North
Walsall South
Wansbeck
Wantage
Warley
Washington and Sunderland West
Waveney
Wealden
Weaver Vale
Wellingborough
Wells
Wentworth and Dearne
West Bromwich East
West Bromwich West
West Ham
Westminster North
Wirral South
Wolverhampton South West
Workington
Worsley and Eccles
Wyre and Preston North
Aberdeen North
Arundel and South Downs
Ashford
Ashton-under-Lyne
Aylesbury
Banbury
Birmingham Ladywood
Bishop Auckland
Blackpool South
Brentford and Isleworth
Bridgend
Bristol East
"Caithness, Sutherland and Easter Ross"
Cardiff South and Penarth
Chippenham
Dwyfor Meirionnydd
East Hampshire
Eastleigh
Erith and Thamesmead
Falkirk
Glasgow East
Glasgow North
Glasgow North East
Glasgow South West
Gower
Guildford
Huntingdon
Leeds North West
Liverpool Riverside
Liverpool Walton
Liverpool Wavertree
Liverpool West Derby
Maidenhead
Manchester Central
Mid Sussex
Milton Keynes North
Morecambe and Lunesdale
Newcastle upon Tyne North
Newport East
Northampton South
Pontypridd
Ribble Valley
South Cambridgeshire
South Norfolk
South Northamptonshire
South West Hertfordshire
Stafford
Stockport
Stoke-on-Trent Central
Stoke-on-Trent South
Stourbridge
Swansea West
Westmorland and Lonsdale
Windsor
Wirral West
Witney
Wokingham
